NaN,52.4484,NaN,NaN,NaN,NaN,NaN,52.4484,-49.1006,NaN,NaN,NaN
52.4484,-27.6723,52.4484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,52.4484,NaN,52.4484,NaN,NaN,NaN,NaN,-49.1006,NaN,NaN,NaN
NaN,NaN,52.4484,NaN,52.4484,NaN,NaN,-27.6723,NaN,NaN,NaN,NaN
NaN,NaN,NaN,52.4484,NaN,52.4484,NaN,NaN,NaN,NaN,NaN,21.4282
NaN,NaN,NaN,NaN,52.4484,-27.6723,52.4484,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,52.4484,NaN,52.4484,NaN,NaN,21.4282,NaN
52.4484,NaN,NaN,-27.6723,NaN,NaN,52.4484,NaN,NaN,NaN,NaN,NaN
-49.1006,NaN,-49.1006,NaN,NaN,NaN,NaN,NaN,NaN,109.4712,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,109.4712,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,21.4282,NaN,NaN,0,NaN,70.5288
NaN,NaN,NaN,NaN,21.4282,NaN,NaN,NaN,NaN,0,70.5288,NaN
